title,originalTitle,year,rating,votes_orig,votes,genres/0,genres/1,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,ProductionBudget_orig,DomesticGross_orig,WorldwideGross_orig,DomesticGross,WorldwideGross,domesticProfit,worldwideProfit,totalProfit
Airplane!,,1980,"7,8","162,57",162565,Comedy,,,,,,,,3500000,83453539,83453539,83453539,83453539,79953539,79953539,159907078
Caddyshack,,1980,"7,4","82,65",82648,Comedy,Sport,,,,,,,6000000,39846344,39846344,39846344,39846344,33846344,33846344,67692688
Coal Miner's Daughter,,1980,"7,5","13,09",13087,Biography,Drama,Music,Musical,,,,,15000000,67182787,67182787,67182787,67182787,52182787,52182787,104365574
Dressed to Kill,,1980,"7,1","24,48",24476,Mystery,Thriller,,,,,,,6500000,31899000,31899000,31899000,31899000,25399000,25399000,50798000
Flash Gordon,,1980,"6,5","38,57",38570,Action,Adventure,Sci-Fi,,,,,,35000000,27107960,27107960,27107960,27107960,-7892040,-7892040,-15784080
Friday the 13th,,1980,"6,5","84,37",84372,Horror,Mystery,Thriller,,,,,,550000,39754601,59754601,39754601,59754601,39204601,19450000,58654601
Gloria,,1980,"7,1","6,14",6143,Crime,Drama,Thriller,,,,,,30000000,4167493,4967493,4167493,4967493,-25832507,-29200000,-55032507
Heaven's Gate,,1980,"6,8","10,06",10061,Adventure,Drama,Western,,,,,,44000000,3484331,3484523,3484331,3484523,-40515669,-43999808,-84515477
Hell of the Living Dead,Virus,1980,"4,9","3,40",3403,Horror,,,,,,,,75000000,14010690,30626690,14010690,30626690,-60989310,-58384000,-119373310
Le lion du d̩sert,Lion of the Desert,1980,"8,4","10,12",10121,Biography,Drama,History,War,,,,,35000000,1500000,1500000,1500000,1500000,-33500000,-33500000,-67000000
Le monstre du train,Terror Train,1980,"5,9","6,69",6685,Horror,Thriller,,,,,,,3500000,8000000,8000000,8000000,8000000,4500000,4500000,9000000
Maniac,,1980,"6,5","10,37",10366,Drama,Horror,Thriller,,,,,,350000,10000000,10000000,10000000,10000000,9650000,9650000,19300000
Ordinary People,,1980,"7,8","35,54",35544,Drama,,,,,,,,6000000,52302978,52302978,52302978,52302978,46302978,46302978,92605956
Popeye,,1980,"5,2","24,07",24066,Adventure,Comedy,Family,Fantasy,Musical,Romance,,,20000000,49823037,49823037,49823037,49823037,29823037,29823037,59646074
Private Benjamin,,1980,"6,1","18,37",18368,Comedy,War,,,,,,,15000000,69847348,69847348,69847348,69847348,54847348,54847348,109694696
Raging Bull,,1980,"8,3","238,67",238672,Biography,Drama,Sport,,,,,,18000000,23380203,23380203,23380203,23380203,5380203,5380203,10760406
Raise the Titanic,,1980,"4,7","2,97",2972,Action,Drama,Thriller,Adventure,,,,,40000000,7000000,7000000,7000000,7000000,-33000000,-33000000,-66000000
Somewhere in Time,,1980,"7,3","21,27",21266,Drama,Fantasy,Romance,,,,,,5100000,9709597,9709597,9709597,9709597,4609597,4609597,9219194
Superman II,,1980,"6,8","77,52",77518,Action,Adventure,Sci-Fi,,,,,,54000000,108185706,108185706,108185706,108185706,54185706,54185706,108371412
The Blue Lagoon,,1980,"5,7","50,66",50659,Adventure,Drama,Romance,,,,,,4500000,47923795,47923795,47923795,47923795,43423795,43423795,86847590
The Blues Brothers,,1980,"7,9","144,23",144231,Action,Comedy,Crime,Music,Musical,,,,27000000,57229890,57229890,57229890,57229890,30229890,30229890,60459780
The Elephant Man,,1980,"8,2","164,54",164539,Biography,Drama,,,,,,,5000000,26010864,26010864,26010864,26010864,21010864,21010864,42021728
The Fog,,1980,"6,8","47,26",47257,Fantasy,Horror,,,,,,,1000000,21378361,21378361,21378361,21378361,20378361,20378361,40756722
The Long Riders,,1980,"7,1","7,43",7428,Western,,,,,,,,10000000,15198912,15198912,15198912,15198912,5198912,5198912,10397824
The Shining,,1980,"8,4","621,50",621498,Drama,Horror,,,,,,,19000000,44017374,44414369,44017374,44414369,25017374,-18603005,6414369
Blow Out,,1981,"7,4","28,27",28272,Mystery,Thriller,,,,,,,18000000,13747234,13747234,13747234,13747234,-4252766,-4252766,-8505532
Chariots of Fire,,1981,"7,2","41,12",41115,Biography,Drama,Sport,,,,,,5500000,57159946,57467731,57159946,57467731,51659946,-5192215,46467731
Clash of the Titans,,1981,"6,9","33,35",33352,Action,Adventure,Family,Fantasy,,,,,15000000,30000000,44400000,30000000,44400000,15000000,-600000,14400000
Das Boot,,1981,"8,4","170,64",170636,Adventure,Drama,Thriller,War,,,,,12000000,11487676,84970337,11487676,84970337,-512324,61482661,60970337
Dragonslayer,,1981,"6,7","10,98",10984,Action,Adventure,Fantasy,,,,,,18000000,6000000,6000000,6000000,6000000,-12000000,-12000000,-24000000
Escape from New York,,1981,"7,2","92,53",92534,Action,Sci-Fi,,,,,,,6000000,25244700,25244700,25244700,25244700,19244700,19244700,38489400
For Your Eyes Only,,1981,"6,8","72,86",72857,Action,Adventure,Thriller,,,,,,28000000,54800000,195300000,54800000,195300000,26800000,112500000,139300000
Friday the 13th Part 2,,1981,"6,1","40,51",40510,Horror,Mystery,Thriller,,,,,,1250000,21722776,21722776,21722776,21722776,20472776,20472776,40945552
Gallipoli,,1981,"7,5","30,15",30145,Adventure,Drama,History,War,,,,,3000000,5732587,5732587,5732587,5732587,2732587,2732587,5465174
Halloween II,,1981,"6,5","51,85",51848,Horror,,,,,,,,2500000,25533818,25533818,25533818,25533818,23033818,23033818,46067636
Heavy Metal,,1981,"6,7","23,82",23817,Animation,Adventure,Fantasy,Horror,Sci-Fi,,,,9300000,19571091,19571091,19571091,19571091,10271091,10271091,20542182
History of the World: Part I,,1981,"6,9","37,15",37147,Comedy,,,,,,,,11000000,31672000,31672000,31672000,31672000,20672000,20672000,41344000
Mad Max 2: The Road Warrior,Mad Max 2,1981,"7,6","135,79",135792,Action,Adventure,Sci-Fi,Thriller,,,,,2000000,24600832,24600832,24600832,24600832,22600832,22600832,45201664
Modern Problems,,1981,5,"3,96",3960,Comedy,Fantasy,Sci-Fi,,,,,,8000000,24474312,24474312,24474312,24474312,16474312,16474312,32948624
Mommie Dearest,,1981,"6,7","10,74",10741,Biography,Drama,,,,,,,5000000,19032000,25032000,19032000,25032000,14032000,1000000,15032000
Nighthawks,,1981,"6,4","12,72",12719,Action,Crime,Thriller,,,,,,5000000,14600000,19600000,14600000,19600000,9600000,0,9600000
Porky's,,1981,"6,2","31,57",31571,Comedy,,,,,,,,4000000,109492484,109492484,109492484,109492484,105492484,105492484,210984968
Quest for Fire,La guerre du feu,1981,"7,4","16,50",16500,Adventure,Drama,History,,,,,,12500000,20959585,20959585,20959585,20959585,8459585,8459585,16919170
Raiders of the Lost Ark,,1981,"8,5","670,92",670921,Action,Adventure,,,,,,,20000000,248159971,389925971,248159971,389925971,228159971,121766000,349925971
Reds,,1981,"7,5","16,46",16460,Biography,Drama,History,Romance,,,,,33500000,50000000,50000000,50000000,50000000,16500000,16500000,33000000
Roar,,1981,"6,3","1,40",1400,Adventure,Horror,Thriller,,,,,,17000000,2110050,2110050,2110050,2110050,-14889950,-14889950,-29779900
Stripes,,1981,"6,9","49,25",49246,Action,Comedy,War,,,,,,10000000,85300000,85300000,85300000,85300000,75300000,75300000,150600000
Taps,,1981,"6,7","13,17",13166,Drama,,,,,,,,14000000,35856053,35856053,35856053,35856053,21856053,21856053,43712106
The Evil Dead,,1981,"7,6","144,00",144004,Fantasy,Horror,,,,,,,375000,2400000,29400000,2400000,29400000,2025000,26625000,28650000
The Four Seasons,,1981,"7,2","3,20",3198,Comedy,Drama,,,,,,,6500000,42488161,42488161,42488161,42488161,35988161,35988161,71976322
The Howling,,1981,"6,6","23,20",23195,Horror,,,,,,,,1000000,17985000,17985000,17985000,17985000,16985000,16985000,33970000
The Postman Always Rings Twice,,1981,"6,6","16,97",16966,Crime,Drama,Thriller,Romance,,,,,12000000,12200000,44200000,12200000,44200000,200000,20000000,20200000
Time Bandits,,1981,7,"46,57",46572,Adventure,Comedy,Fantasy,Sci-Fi,,,,,12000000,37400000,37400000,37400000,37400000,25400000,25400000,50800000
Blade Runner,,1982,"8,2","468,24",468237,Sci-Fi,Thriller,,,,,,,28000000,32656328,33139618,32656328,33139618,4656328,-27516710,-22860382
Cat People,,1982,"6,1","14,38",14384,Fantasy,Horror,Thriller,,,,,,12500000,7000000,21000000,7000000,21000000,-5500000,1500000,-4000000
Class 1984,Class of 1984,1982,"6,6","6,65",6650,Action,Crime,Drama,Thriller,,,,,3250000,6965361,6965361,6965361,6965361,3715361,3715361,7430722
Conan the Barbarian,,1982,"6,9","114,10",114102,Adventure,Fantasy,,,,,,,20000000,38264085,79114085,38264085,79114085,18264085,20850000,39114085
Creepshow,,1982,"6,9","30,53",30526,Comedy,Fantasy,Horror,,,,,,8000000,20036244,20036244,20036244,20036244,12036244,12036244,24072488
Diner,,1982,"7,2","15,13",15131,Comedy,Drama,,,,,,,5000000,12592907,12592907,12592907,12592907,7592907,7592907,15185814
Fast Times at Ridgemont High,,1982,"7,2","72,23",72226,Comedy,Drama,,,,,,,4500000,27092880,27092880,27092880,27092880,22592880,22592880,45185760
Firefox,,1982,"5,9","20,06",20061,Action,Adventure,Thriller,,,,,,21000000,45785720,45785720,45785720,45785720,24785720,24785720,49571440
First Blood,,1982,"7,7","174,80",174802,Action,Adventure,Drama,,,,,,14000000,47212904,125212904,47212904,125212904,33212904,64000000,97212904
Gandhi,,1982,"8,1","174,43",174425,Biography,Drama,History,,,,,,22000000,52767889,127767889,52767889,127767889,30767889,53000000,83767889
L'homme de la rivi̬re d'argent,The Man from Snowy River,1982,"7,3","5,97",5974,Adventure,Drama,Family,Romance,Western,,,,5000000,20659423,20659423,20659423,20659423,15659423,15659423,31318846
Megaforce,,1982,"3,5","2,57",2568,Sci-Fi,Action,,,,,,,18000000,5675599,5675599,5675599,5675599,-12324401,-12324401,-24648802
Poltergeist,,1982,"7,4","107,67",107666,Fantasy,Horror,,,,,,,10700000,74706019,121706019,74706019,121706019,64006019,36300000,100306019
Q,,1982,"6,1","4,34",4341,Crime,Horror,Mystery,,,,,,1200000,255000,255000,255000,255000,-945000,-945000,-1890000
Star Trek II: The Wrath of Khan,Star Trek: The Wrath of Khan,1982,"7,7","92,78",92779,Action,Adventure,Sci-Fi,,,,,,12000000,78912963,95800000,78912963,95800000,66912963,4887037,71800000
The Beastmaster,,1982,"6,2","15,57",15572,Action,Adventure,Fantasy,,,,,,5000000,10751126,10751126,10751126,10751126,5751126,5751126,11502252
The Best Little Whorehouse in Texas,,1982,"5,8","7,85",7854,Comedy,Musical,,,,,,,20500000,69701637,69701637,69701637,69701637,49201637,49201637,98403274
The Verdict,,1982,"7,8","26,78",26778,Drama,,,,,,,,16000000,53977250,53977250,53977250,53977250,37977250,37977250,75954500
Tootsie,,1982,"7,4","78,25",78249,Comedy,Drama,Romance,,,,,,15000000,177200000,177200000,177200000,177200000,162200000,162200000,324400000
TRON,,1982,"6,8","95,20",95201,Action,Adventure,Sci-Fi,,,,,,17000000,26918576,26918576,26918576,26918576,9918576,9918576,19837152
A Christmas Story,,1983,"8,1","105,38",105380,Comedy,Family,,,,,,,3250000,20605209,20605209,20605209,20605209,17355209,17355209,34710418
American Teenagers,Losin' It,1983,"4,9","3,16",3164,Comedy,Drama,,,,,,,7000000,1246141,1246141,1246141,1246141,-5753859,-5753859,-11507718
Brainstorm,,1983,"6,5","8,64",8638,Sci-Fi,Thriller,,,,,,,15000000,8921050,8921050,8921050,8921050,-6078950,-6078950,-12157900
Flashdance,,1983,"6,1","35,73",35734,Drama,Music,Romance,,,,,,7000000,90463574,201463574,90463574,201463574,83463574,104000000,187463574
Lone Wolf McQuade,,1983,"6,3","8,09",8091,Action,Crime,Drama,Romance,Thriller,Western,,,5000000,12232628,12232628,12232628,12232628,7232628,7232628,14465256
Never Say Never Again,,1983,"6,2","49,18",49184,Action,Adventure,Thriller,,,,,,36000000,55500000,160000000,55500000,160000000,19500000,68500000,88000000
Octopussy,,1983,"6,6","75,19",75192,Action,Adventure,Thriller,,,,,,27500000,67900000,187500000,67900000,187500000,40400000,92100000,132500000
